Region,Date,Title,Summary
Africa,11 February 2025,Angola vaccinates over 1 million people as it bolsters cholera outbreak control effo...,"Luanda – Antonio Morais, from Paraíso neighborhood in Cacuaco, one of Luanda’s nine municipalities, has witnessed friends and neighbours succumb to cholera. So, when Morais heard about an oral cholera vaccination campaign as part of Angola’s efforts to step up outbreak control, he was first in line to receive a vaccine. “I feel relieved, as I know that vaccines save lives,” he says."
Africa,31 January 2025,Côte d'Ivoire community radios boost public awareness on mpox outbreak,"Abidjan – Edwige, a mother of two, is a devoted listener of a local radio station in her community in the southwestern Côte d'Ivoire. She especially tunes in for morning programmes before heading off to work at her cosmetics shop. That is how she first heard about mpox."
Africa,30 January 2025,Communities mobilize to end Guinea-worm disease in the Democratic Republic of the Co...,"Businga, Democratic Republic of the Congo – Salomon Kosoma, a fisherman and farmer in the north-west of the Democratic Republic of the Congo, is also a community mobilizer with a strong commitment to the prevention and control of Guinea-worm disease also known as dracunculiasis. In his fifties, Salomon decided to be part of the control effort when he realized the harmful health consequences of this neglected tropical disease. ""I first heard about this disease during a polio vaccination campaign. That was in 2016,"" explains Salomon."
Africa,24 January 2025,WHO ramps up support for Tanzania’s Marburg outbreak response,"Biharamulo, Tanzania – A team of public health emergency experts from World Health Organization (WHO) has deployed to Tanzania’s north-western Kagera region to support the health authorities strengthen response to an outbreak of Marburg virus disease."
Africa,22 January 2025,"South Sudan steps up vaccination, response measures to curb cholera","Juba ‒ Nyaboth Gai, a 28-year-old resident of Rubkona, county in the north of South Sudan, is grateful to be alive after her family was severely affected by cholera, an infectious disease that can quickly lead to death if it is not detected and treated early. “All four members of my family got infected and I thank God for giving me another chance to live,” she says. “I am grateful for the treatment we have been receiving in the health facility.”"
Africa,22 January 2025,Child health improves in Cameroon one year after malaria vaccine introduction,"Yaounde – Ndzie Daniela and Ngah Daniel, twins, were the first children to receive the malaria vaccine when it was introduced in Cameroon on 22 January 2024. They have now received three doses of the vaccine and are both thriving. “My children are in excellent health. Since birth, they have never had malaria. Better still, I'd say they've never fallen sick,” says their mother Hélène Akono. “I must admit they've had a few teething problems, but nothing serious.”"
Africa,02 January 2025,Chad: protecting children from HIV/AIDS,"N'Djamena – Judith Haltebaye, a midwife with 15 years of experience, has spent the past seven years serving at the Abena-Atetip Health Centre in central N'Djamena. Over the years, she has supported hundreds of women throughout their pregnancies and beyond. For some, her care involves highly specific follow-ups, as in the case of 34-year-old Menodjie, who is living with HIV. ""Menodjie came for a consultation in January, and through routine tests, we discovered she was living with HIV. At the time, she was expecting her second child,"" Judith recounts."
Africa,12 December 2024,Algeria strengthens its fight against addiction and advances towards the Sustainable...,"Algiers – Brahim, a 14-year-old student, has been visiting the local health centre in Cherchell every week for a year to participate in individual therapy sessions and receive career guidance. “I came to seek help for my addiction to cannabis and tobacco,” he confides. “It was very difficult at first. I had trouble communicating with others. But week after week, the staff at the centre helped me gain confidence in myself. They encourage me not to drop out of school and not to lose hope.”"
Africa,12 December 2024,Equatorial Guinea inaugurates its first public oxygen plant,"Bata – Juan de Dios, a nurse in the emergency unit of the hospital in Bata, a port city in Equatorial Guinea, still remembers the frequent calls for help that echoed through the corridors: “There’s no oxygen!” “It was a race against time to procure and deliver the oxygen on time. On account of its high cost, the hospital was forced to charge families, even low-income ones, for its use. It was terrifying not knowing if we could save a life because of all this.”"
Africa,12 December 2024,Health committees mobilized to achieve universal health coverage in Congo,"Brazzaville – “Previously, I avoided going to the integrated health centre (IHC) due to the high cost of care and poor reception,"" says Christine, 58, who lives in Nzalangoye, in Ouesso District in northern Congo."
Africa,12 December 2024,Mozambique: Driving down maternal mortality,
Africa,12 December 2024,Kenya: Strengthening the health workforce,"Nairobi – Five years ago, Esther Omagwa was one of only two nurses at the Railways Health Centre in Kisumu County, western Kenya. The immense workload often exhausted her, forcing her to turn away clients."
Africa,03 December 2024,Maintaining essential health services amid mpox outbreak response,
Africa,01 December 2024,Multi-month HIV treatment dispensing improves care in Rwanda,"Kigali - Esther Uwababyeyi's journey with HIV began at a young age. ""Since the age of three, I've been on HIV treatment,” she says. Born in 2002, Uwababyeyi was infected during her mother’s pregnancy, a time when access to HIV treatment for women living with HIV was only just starting to improve. Now 22 years old and living in Rwanda’s Rwamagana district in the Eastern Province, she has benefitted greatly from the advancements in country’s HIV treatment programme over the years."
Africa,29 November 2024,Availability of antiretroviral treatment bolsters HIV/AIDS control in Equatorial Gui...,"Malabo – In Equatorial Guinea, where over 6% of the population lives with HIV, access to antiretroviral (ARV) treatment was limited to just two centres in the provincial capitals of Malabo and Bata until 2017. This restricted access caused difficulties in patient follow-up and placed significant strain on health services."
Africa,26 November 2024,Addressing the challenges of antimicrobial resistance in Africa,"Brazzaville – Antimicrobial resistance (AMR) is one of the top global public health and development threats. About4.71 million deaths were linked to bacterial AMR in 2021 alone, with sub-Saharan Africa accounting for highest mortality rates."
Africa,21 November 2024,Burundi: strengthening the laboratory pillar in the mpox response,"Bujumbura – The biomedical laboratory is a critical component of outbreak response efforts. In Burundi, it serves as a cornerstone in addressing the current mpox outbreak. When the outbreak was declared on 25 July, the country faced a shortage of qualified staff to manage the laboratory pillar effectively. As of 17 November, Burundi is the second most affected country in the African Region, with 2003 confirmed mpox cases."
Africa,20 November 2024,Namibia strengthens child protection measures,"Windhoek – “The injury pattern did not match the father's account, so I involved a social worker,” recounts Julia Kaiyamo, a doctor at Katutura Health Centre in Windhoek, Namibia, of a recent case she treated. Kaiyamo’s assessment was informed by training she received on addressing child maltreatment."
Africa,20 November 2024,Urgent action needed to tackle growing antimicrobial resistance threat in African re...,
Africa,18 November 2024,Delivering lifesaving health services for flood-displaced families in Nigeria,"Abuja – Borno state, in northeastern Nigeria, has been severely impacted by recent floods, which have displaced more than 400 000 people and led to 37 deaths. The flooding, mostly affecting the municipal area of Maiduguri, the state’s capital, has also caused significant damage to agricultural land and infrastructure, including health facilities. Almost 90 000 vulnerable people have been forced to take shelter in temporary camps with limited access to food, clean water and health services."
Africa,30 October 2024,South Sudan intensifies efforts to curb cholera outbreak,"Juba – Health authorities in South Sudan have declared a cholera outbreak in Renk, a county located on the northern border of Sudan and the main point of entry for refugees and returnees fleeing the ongoing armed conflict in that country. A total of 50 suspected cases with six confirmed cases were reported among refugees, returnees and the host community as of 28 October 2024."
Africa,23 October 2024,"Kenya, Uganda cross-border polio vaccination reaches 6.5 million children","Nairobi/Kampala – Between October 3 and 6, 2024, more than 6.5 million children were vaccinated in a successful synchronized polio campaign between Kenya and Uganda. This cross-border achievement began with a coordinated launch in Bungoma District, Kenya, and Mbale District, Uganda."
Africa,23 October 2024,Enhancing polio detection with advanced sequencing technology,"Brazzaville  - The African region, declared free of indigenous wild poliovirus in August 2020, faces an urgent threat: the intense transmission of type 2 variant poliovirus (cVDPV2). This year alone, 290 poliovirus detections have been reported in 23 African countries."
Africa,21 October 2024,Severe flooding compounds health crisis in South Sudan,"Juba ‒ South Sudan is witnessing some of its worst flooding in decades that has caused widespread devastation in several parts of the country and has so far left more than 226 000 people displaced, homes, livelihood impacted with roads and key infrastructure submerged and several communities devastated."
Africa,10 October 2024,Addressing the complex hurdles to optimal mental health in Africa’s workplaces,"Brazzaville – Access to mental health services in the African region is still inadequate despite recent progress. While countries have made advancements including increasing the number of mental health specialists, investment and policy development, challenges ranging from poor awareness to stigma and insufficient services continue to undermine effective mental health care. Dr Naeem Dalal, a mental health emergency response consultant for WHO in the African Region, discusses some of the common barriers to this critical care."
Africa,04 October 2024,Decentralizing testing for rapid mpox detection in the Democratic Republic of the Co...,"Kinshasa – To ensure adequate and prompt detection of mpox cases, the Democratic Republic of the Congo is decentralizing laboratory services and accelerating efforts to curb the disease through close coordination with support from partners, including World Health Organization (WHO), who are providing critical diagnostic equipment and supplies to bolster the outbreak response."
Africa,01 October 2024,"Ernesto Cabral, former laboratory technician, Cabo Verde",
Africa,24 September 2024,"Kenya steps up surveillance, response measures to curb mpox","Nairobi – Kenyan health authorities have implemented a raft of preparedness and response measures to swiftly detect and halt the spread of mpox, which was confirmed in the country on 31 July 2024."
Africa,21 September 2024,"Devastating West and Central Africa floods affect over 4 million people, raise healt...",
Africa,16 September 2024,Ramping up flood emergency response in Nigeria,"Abuja – World Health Organization (WHO) is stepping up support to the Nigerian authorities to provide emergency health assistance following devastation caused by severe flooding that has so far affected more than 610 000 people, damaged key basic infrastructure and raised the risks of food insecurity and spread of infectious diseases."
Africa,13 September 2024,WHO expands field response capacity to curb mpox in Democratic Republic of the Congo...,
Africa,07 September 2024,WHO delivers 14 tons of emergency supplies for mpox response in the Democratic Repub...,Nairobi/Kinshasa ‒ World Health Organization (WHO) today delivered 14 metric tons of medical supplies and equipment to the Democratic Republic of the Congo to support infection prevention and control and case management for the ongoing response to halt the mpox outbreak.
Africa,29 August 2024,Liberia: Scaling up access to life-saving medical oxygen,
Africa,29 August 2024,Liberia: Scaling up access to life-saving medical oxygen,
Africa,27 August 2024,South Africa: Intensifying efforts to end TB,"Pretoria – One night in September 2023, 21-year-old university student Sinalo Tungwashe, who had been experiencing flu-like symptoms for some weeks, was roused from a fitful sleep by sharp chest pains. “I was struggling to breathe,” he recalls. “I knew that something was not normal. For a second, I thought I was about to die.”"
Africa,26 August 2024,Antenatal visits improve maternal health outcomes in Togo,"Sokodé – In Togo, the health landscape is characterized by high morbidity and maternal mortality rates. According to the National Health Development Plan (NHDP 2023–2027), the maternal mortality rate in 2021 was 399 deaths per 100 000 live births, a slight improvement from the 401 deaths per 100 000 live births reported in the 2013–2014 Demographic and Health Survey (DHS)."
Africa,26 August 2024,Equatorial Guinea steps up screening to eradicate tuberculosis,"Malabo ‒ Equatorial Guinea has made remarkable progress in its fight against tuberculosis (TB), with screening rates increasing significantly from 34% to 87% between 2020 and 2023. This progress is thanks to the implementation of a national strategy supported by World Health Organization (WHO) and the adoption of cutting-edge diagnostic tools."
Africa,23 August 2024,Angola: Detecting health threats in the border provinces,"Luanda – When municipal health promotion supervisor Papa Diabanza underwent intensive training as part of a strategy to boost epidemiological surveillance and disease prevention in Angola, he became an important cog in the country’s renewed bid to leverage local communities in an effort to improve response time to health emergencies."
Africa,22 August 2024,Senegal: transforming health facilities into safe places for clients,"Dakar – In Senegal, as in most countries in the African region, hospital-acquired infections are a major challenge. Also known as nosocomial infections, they are among the most frequently observed adverse events in the context of health service delivery. According to estimates from World Health Organization (WHO), in high-income countries seven out of 100 patients hospitalized in intensive care will contract at least one nosocomial infection during their stay in hospital. In low- or middle-income countries this number rises to 15."
Africa,21 August 2024,Burundi adopts community-based approach to prevent mother-to-child transmission of H...,"Bujumbura – “It’s unacceptable that in 2024, children are still born with HIV,” says Novela Irakoze, a woman living who with HIV and advocate for prevention of mother-to-child transmission of HIV. “I was born with HIV and my goal is to protect children from experiencing what I did.”"
Africa,21 August 2024,Mauritius intensifies efforts to combat tobacco epidemic,"Port Louis – Sutrajeet Ghuburrun was 16 when he smoked his first cigarette. Over the next 40 years, the taxi driver from Bel Air, a village in the east of Mauritius, smoked between 15 and 20 cigarettes a day. Although he had long known about the harms of smoking, it was only in 2022, following a coronary angioplasty (a procedure to open narrowed arteries), that he finally quit. He is now more health conscious: the 56-year-old says he has adopted a daily walking regimen and tries to sensitize those around him against this highly destructive habit."
Africa,21 August 2024,Oral health project screens children for heart disease in Comoros,"Moroni ‒ In the Comoros, an oral health project supported by World Health Organization (WHO) and involving thousands of children aged 5–12 years, has provided free dental care and consultations to detect any associated heart disease."
Africa,19 August 2024,Lesotho: Enhancing HPV vaccination to protect girls against cervical cancer,
Africa,19 August 2024,Lesotho: Enhancing HPV vaccination to protect girls against cervical cancer,
Africa,14 August 2024,Cameroon on the path to eliminating elephantiasis,"Maroua – “At first, I felt itchy and scratched my body all the time, then my foot started to swell,” says Jacob, a 56-year-old farmer from Goudour in the far north region of Cameroon. “I was ashamed to go out in public. I covered my foot and everyone looked at me strangely. I couldn't even work normally anymore."""
Africa,14 August 2024,Zambia: Rallying to control cholera outbreak,"Lusaka ‒ One evening, Lusaka resident Samuel Zyambo rapidly fell into a disturbing, dreamlike state of unconsciousness. He was unaware that when he woke up the following day, he was in a cholera treatment centre fighting for his life, with no recollection of anything that had taken place in the previous 12 hours."
Africa,12 August 2024,Eswatini’s multi-pronged strategy to prevent cervical cancer saves lives,"Mbabane – When Simangele Dlamini was diagnosed with a pre-cancerous cervical lesion, all the 50-year-old mother from Mankayane in Eswatini could think about was the welfare of her children. “My husband died in 2017 and I didn’t know who would raise them if I died of cancer,” she recalls."
Africa,09 August 2024,Nutrition integrated into the fight against cholera in the Democratic Republic of th...,"Kinshasa ‒ In the Democratic Republic of the Congo, where 47.9% of children aged below five years suffer from chronic malnutrition and 81.1% of those aged between 6 to 23 months do not get adequate nutrition, integrating appropriate nutrition into disease control is crucial to strengthening the country's response to health crises."
Africa,07 August 2024,Addressing heavy metal poisoning in Nigeria,"Abuja ‒ It all began with a mild stomach ache, something seven-year-old Auwali Abubakar’s parents initially dismissed as a minor issue."
Africa,05 August 2024,Strengthening care services for chronic diseases in Seychelles,"Victoria – After a long day at work, Brenda Mirabeau loves to put on her favourite music and dance around the house. So, six years ago, when her toes went numb and she could no longer walk around at home, her family was alarmed. “I was so cold that I was shivering… that’s when they rushed me to the hospital,” she says. After emergency care, Mirabeau was diagnosed with diabetes, a condition that runs in her family."
Africa,28 July 2024,Namibia: Eliminating mother-to-child transmission of HIV and hepatitis B,
Africa,26 July 2024,Protecting children against hepatitis B with birth-dose vaccine,"Cotonou ‒ Throughout her ten years as a midwife, Françoise Kouveglo, who works at Houenoussou Health Centre in Cotonou, Benin, has witnessed some highly emotional moments in the delivery room. “Giving birth is a deeply powerful moment with lots of strong sensations, but what stands out for me is to make sure that the baby is born safely and that both mother and baby are in good health,” she says."
Africa,27 June 2024,Rallying action to curb cholera in Nigeria’s Lagos state,
Africa,22 June 2024,From fear to fulfilment: a phlebotomist’s first blood donation,"Brazzaville - Mavie Ndama is a phlebotomist at the National Blood Transfusion Centre in Brazzaville, the Republic of the Congo. She has spent years working at blood donation drives and transfusion stations, drawing blood from countless donors. Yet, despite her vital role in the blood donation process, she had never found the courage to donate blood herself."
Africa,21 June 2024,Congo reinforces health emergency preparedness and response,
Africa,14 June 2024,Recommitting to blood donation,"Mbabane – Marcia Motsa, a human-resources professional and mother of two, from Manzini, Eswatini, started her journey with blood donation during high school, when the local blood bank visited and provided detailed information about the process. Although she stopped donating after school as work and family shifted her focus, in 2023 her commitment was reignited by a presentation given by the Ministry of Health at her workplace."
Africa,14 June 2024,"Alpha Tamba, blood donor",
Africa,06 June 2024,Tanzania’s successful Marburg outbreak control helps bolster emergency preparedness,"Dar es Salam – “I remember hearing the news that I was infected with Marburg like it happened yesterday. It was one of the most challenging periods for me,” recalls Dr Mahona Jumanne Ndulu, who works at Bukoba Regional Referral Hospital in Tanzania’s Kagera region in the north."
Africa,31 May 2024,Scaling up tobacco control measures in Africa,"Pretoria ‒ Tobacco consumption in Africa presents complex public health, economic and environmental challenges and requires a multisectoral approach to prevention and control. Professor Lekan Ayo-Yusuf of the Africa Centre for Tobacco Industry Monitoring and Policy Research (ATIM) at the University of Pretoria discusses tobacco control measures in Africa."
Africa,31 May 2024,Switching from tobacco yields benefits for farmers in Malawi,
Africa,31 May 2024,"Meet Titus Mwanza, Farmer",
Africa,31 May 2024,Legal measures drive down rates of tobacco use in Mauritania,"Nouakchott – Ifrah, 36, started smoking at just 13 years of age and never thought he would ever quit. Smoking was common in his home neighbourhood of Cansado in Nouadhibou, Mauritania, and he simply followed by example. “For me, smoking meant being trendy and mature. But that was just an illusion,” he says."
Africa,14 May 2024,Sister Marie Blanche Kambire: serving the most vulnerable,"Nanoro, Burkina Faso – Sister Marie Blanche Kambire has more than 20 years of experience as a nurse. She lives in Nanoro, a rural area 85 kilometres west of Ouagadougou, Burkina Faso’s capital. A Catholic nun, she has dedicated her life to serving others, particularly the children she has been caring for over the past 12 years at the Nanoro Medical Centre, where she heads the paediatric unit."
Africa,30 April 2024,Seychelles celebrates 50 years of saving children’s lives through immunization,"Victoria ‒ Matteo Pragassen is almost a year old and his mother, Diane Uranie, has brought him to the Beau Vallon health centre in Victoria, Seychelles' capital, for his measles-mumps-rubella vaccination. Shortly after arrival, nurse Brigitte Mathiot deftly administers the shot, and it is all over."
Africa,30 April 2024,Mozambique boosts HPV vaccination to reach high coverage,
Africa,25 April 2024,Ghana intensifies efforts towards malaria elimination,"Accra – Charity Damoah, 36, lost count of the number of times she was admitted to hospital with malaria while growing up in Sunyani, in Ghana’s Bono region. But things are different now for her two-year-old son John."
Africa,11 April 2024,Malawi curbs cholera through enhanced outbreak control,"Lilongwe ‒ Although Malawi continues to record only sporadic cholera cases, with just an average of 10 cases a week as of January 2024 compared with close to 700 cases per week at the peak of the outbreak in January 2023 – infection control measures are being applied rigorously to further curb the disease, save lives and avert a flare-out."
Africa,05 April 2024,"Marguerite Mallo Bagaza, Midwife",
Africa,05 April 2024,Entrenching person-centred life-stages care to advance the right to health in Sierra...,
Africa,05 April 2024,"Albert Nkhoma, Community-based volunteer",
Africa,05 April 2024,Meeting the health needs of Malians displaced by security crisis,
Africa,24 March 2024,"Combined HIV-TB testing, care curbing infection and mortality in Niger","Niamey – “Six months ago I went for check-up …  I thought it was something simple like flu, but my illness was much more serious,” says Ali, 47, from Talladje district of Niger’s capital Niamey. “I was diagnosed with tuberculosis and HIV.”"
Africa,23 March 2024,Intensifying new initiatives for TB case-finding in Nigeria,"Abuja ‒ Around a year ago, Mallam Mainasara Mohammad, a resident of Makera,  a locality in Kebbi State, Nigeria, became increasingly worried about his son, nine-year-old Yusuf. The child had been coughing for weeks, had difficulty sleeping and unable to attend school."
Africa,20 March 2024,Tanzania prioritizes delivery of oral health services at primary care level,"Dar es Salaam ‒ One evening after work, 31-year-old Calvin Andrea went to the nearby Tumbi clinic in Kibaha Region, Tanzania, as he could not endure the severe tooth ache he was suffering. “To be honest, I was really sad about the discomfort I felt and the bad breath I was experiencing,” he says."
Africa,13 March 2024,"Liberia rewriting cervical cancer narrative, one dose at a time","Monrovia – Protecting her 13-year-old daughter, Jamsetta Kumeh, from human papillomavirus (HPV) overrode Buludi Martin’s reservations about the vaccine that prevents the infection that can cause cervical cancer. Today she is content that she made the correct decision."
Africa,07 March 2024,More than 2.1 million people vaccinated against cholera in Zimbabwe hotspots,"Harare ‒ Juliet Chikono, a resident of Zimbabwe’s capital, Harare, is now relieved since she is among the more than 2.1 million Zimbaweans who were vaccinated against cholera in the single dose reactive campaign to curb the latest outbreak of the disease that has been reported in all of the country’s 10 provinces."
Africa,04 March 2024,Female genital mutilation in Senegal: a multi-pronged fight for lasting change,"Dakar – Awa has never forgotten the day of her circumcision, at just nine years of age. « They cut me with a knife, without anaesthetic, with just a piece of cloth in my mouth to muffle my screams,"" she recalls."
Africa,04 March 2024,Enhancing cervical cancer prevention in Nigeria,Abuja ‒ Adenike Olayemi says Nigeria’s cervical cancer screening programme saved her life: “I cannot imagine what could have happened if I had not done the screening and gone for treatment.”
Africa,01 March 2024,Africa immunization advisory group urges single-dose HPV vaccine adoption to advance...,
Africa,20 February 2024,Preventive Ebola vaccination safeguards health workers in Democratic Republic of the...,
Africa,02 February 2024,Zambia steps up cervical cancer screening with HPV testing,"Lusaka – Zambia has the third highest burden of cervical cancer in the world, with an incidence rate of 65.5 per 100 000 women and a mortality rate of 43.4 per 100 000 women in 2020. Despite being a preventable and treatable disease, cervical cancer accounts for about 23% of all new cancer cases in the country. The peak age at diagnosis is between 40-49 years."
Africa,30 January 2024,Sustaining the fight against neglected tropical diseases in South Sudan,"Juba – In South Sudan, 19 of the 20 neglected tropical diseases are endemic, posing a huge health threat. More than 12 million people are at risk of infection from these diseases that can cause severe pain, disabilities and deformities among other devastating impacts."
Africa,26 January 2024,Tackling challenges to improve cholera treatment in Zambia’s hardest-hit district,"Lusaka ‒ Imeldah Chulu lives near Matero level 1 hospital in Lusaka District, Zambia. The hospital houses one of the six community-based cholera treatment units in the district, adding to the two bigger cholera treatment centres at the National Heroes Stadium and Levy Mwanawasa University Teaching Hospital."
Africa,25 January 2024,Angola reinforces cholera preparedness and response measures,"Luanda – With ongoing cholera outbreaks in neighbouring countries, Angola is stepping up preparedness measures to effectively respond to potential emergence of the disease in the country."
Africa,24 January 2024,Ramping up response to curb Zimbabwe cholera outbreak,"Harare – Forty-six-year-old Goodluck Moyo* from Chitungwiza, a town just outside the country’s capital, Harare, started feeling unwell after his day shift at work. “I suspect it was the water I drank while at work,” he says. “I got worse rapidly. I was rushed to the 24-hour clinic in my area, where I was put on a drip.” He was later referred to the cholera treatment centre at Chitungwiza General Hospital for further treatment."
Africa,20 January 2024,Zambia races to curb fast-spreading cholera outbreak,"Lusaka – As the cholera outbreak in Zambia continues to expand rapidly, efforts are being stepped up to halt the spread of disease and save lives. A vaccination campaign is currently underway targeting 1.5 million people, including children, health workers and people at high risk of infection in the worst affected areas."
Africa,12 January 2024,Supporting flood emergency response in Congo,Brazzaville ‒ Widespread flooding due to unusually heavy rainfall in the Republic of Congo has left more than 336 000 people in need of urgent humanitarian assistance. The floods have also damaged health facilities and schools and submerged swaths of farmland.
Africa,04 December 2023,Cameroon making progress in the fight against HIV,"Yaounde – Nicole, 28, from Bertoua in eastern Cameroon, will never forget that day in 2019 when her doctor at Batouri Catholic Hospital told her she was HIV-positive. She had gone for a medical check-up a few days previously after feeling ill, but HIV was the furthest thing from her mind. She froze, she recalls, wondering how it was possible. But as the shock began to wear off, the doctor informed her of her options, including treatment."
Africa,29 November 2023,Tackling sexual abuse and exploitation in Mali,"Bamako – “He punched me, kicked me, hit me with objects and insulted me. I was only 12, married off by my parents to a 55-year-old man who already had two wives. By the time I escaped four years later, I had already suffered two miscarriages,” says the young woman, who today credits World Health Organization (WHO) training for helping her become a “voice for the voiceless” in her community."
Africa,29 November 2023,Care for diabetics living in displaced persons camps in Burundi,"Bujumbura – ""I'm diabetic and life here is very hard, very complicated,"" complains Jean Ndimurirwo, 68, who has lived in the Maramvya camp for displaced people, near Bujumbura in Burundi, since being driven from her home by floodwaters three years ago."
Africa,24 November 2023,Niger in the race to end diphtheria outbreak,"Niamey – Mariam, a mother of five living in Kantché, a rural community in Niger's southern Zinder region, remembers the difficult time she went through earlier this year when two of her five children were hospitalized at the same time. “First, it was my nine-year-old son who came home with a strong cough, complaining of a sore throat. He coughed all night and it only got worse. He was finally hospitalized at the Kantché health centre, where his 11-year-old sister also fell ill and, in the end, both were lying there fighting the deadly disease."
